Effect,Final Variants,Similar Effects,German,Face Concerns,Face Concerns(near concept),Ingredients(near concept),Ingredients	
Anti-odor,"anti odor, anti perspirant, deodorizing, deodorising, deodorant, deodorize, deodorise","Deodorizing, Anti-perspirant",Antitranspirant,acne,acne condition,adaptogen products,adaptogen
Strengthening,"strengthening, strengthen, building, restorative, restructuring, build up",Building,Aufbauend,acne conglobata,acne condition,adaptogen products,aloe vera
Refreshing,"refreshing, refresh,freshen,freshen up, fresh, enliven,reinvigorate",Invigorating,"Beleben, Erfrischend, Aufbauend",acne inversa,acne condition,adaptogen products,aloe vera juice
Soothing,"soothing, relatxing, relax,loosen up,restful",Relaxing,"Beruhigend, Enspannend, Wohltuend",acne mechanica,acne condition,adaptogen products,amla
Moisturizing,"humidify,moisturize,moisturise,moisten,humidity, hydrate",Hydrating,Feuchtigkeitsspendend,acne scars,acne condition,adaptogen products,ashwagandha
Glowing,"glowing, shine imparting, shimmering, shimmer, beam, shine, luminous, aglow, lambent, lucent","Luminous, Shimmering, Shine imparting","Glänzen, Leuchtend, Schimmernd, ",adult acne,acne condition,adaptogen products,astragalus
Smoothing,"smooth, smoothen, smooth out, unwrinkled, supple, lissome, lissom, lithe, lithesome",Supple,"Glätten, geschmeidig",baby acne,acne condition,adaptogen products,bee pollen
Highlighting,"highlighting, accentuating, accentuate","Highlight, Accentuating","Highlight setzend, Akzenturierend",bacne,acne condition,adaptogen products,chamomile
Nourishing,"nourish,nurture,nutrify,nutrient,nutritious,nutritive",,"Nährend, Pflegend",blemish,acne condition,adaptogen products,chamomile drops
Regenerating,"regenerate,renew, renewing, reform,reforming, restore, restoring","Skin renewing, Cell renewing","Regenerierend, Hauterneuernd",breakouts,acne condition,adaptogen products,cordyceps
Cleansing,"cleaning,cleanup,cleanse,clean,purifying, purify, clarify,clear up,clarifying,","Clarifying, Purify","Klärend, Reinigend",butt acne,acne condition,adaptogen products,eleuthero
Gentle,"irritation, rashes, mild, skin friendly, mild ph, ph neutral, sensitive skin",Mild,"Mild, Sanft, Schonend",cheek acne,acne condition,adaptogen products,garlic
Defining,"shaping, shapes, define, structure, models, modeling",Structuring,"Definierend, Strukturierend",chest acne,acne condition,adaptogen products,ginseng
Vitalizing,"revitalize, revitalise, revitalizing, revitalising, vitalize, vitalise",Revitalizing,"Vitalisieren, Revitalizing",chest pimples,acne condition,adaptogen products,ginseng root extract
Waterproof,"waterproof, water resistant",Water resistant,"Wasserfest, Wasserresistent",chin acne,acne condition,adaptogen products,goji berry
Covering,"covering,cover, masking, cover up, hides",,,comedonal acne,acne condition,adaptogen products,gotu kola
Decongestant,"decongestant, swelling",,,cyst,acne condition,adaptogen products,green tea
Anti-aging,"youthful, young, rejuvenate, anti aging",,,cystic acne,acne condition,adaptogen products,holy basil
Anti-cellulite,cellulite,,,face inflammation,acne condition,adaptogen products,jiaogulan
Anti-Frizz,"frizz, brittle, easy to comb, damaged hair, anti scatch, anti split, cracked hair, hair breakage",,,forehead acne,acne condition,adaptogen products,licorice
Anti-Hair Loss,"hair growth, hair loss",,,fungal acne,acne condition,adaptogen products,licorice extract
Anti-dandruff,"dandruff, dry scalp, flake free",,,hormonal acne,acne condition,adaptogen products,licorice root
Brightening,"brighten,lighten up,lighten,light up, shine",,,jawline acne,acne condition,adaptogen products,maca
Tanning,"tanning, tan",,,maskne,acne condition,adaptogen products,mangosteen
Disinfecting,"disinfect, antibacterial",,,neck acne,acne condition,adaptogen products,moringa
Fragrant,"fragrant, scent,perfume, aromatic, smelling, scent, perfume",,,nodular acne,acne condition,adaptogen products,panax ginseng
Firming,"firming, tauten,firm",,,nodulocystic acne,acne condition,adaptogen products,reishi mushroom
Exfoliating,"exfoliating, exfoliate, peeling, scrub",,,papule acne,acne condition,adaptogen products,rhodiola rosea
Fixing,"Fixing, fixation, fixate",,,pilonidal cyst,acne condition,adaptogen products,rosemary
Styling,"styling, style, manner, way",,,pustule acne,acne condition,adaptogen products,schisandra
Priming,"priming, foundation, base",,,scalp acne,acne condition,adaptogen products,turmeric
Glittering,"glitter,glisten,glint,gleam,aglitter,coruscant,glinting,glistering,glittering,glittery,scintillant,scintillating,sparkly",,,stress acne,acne condition,bee products,bee balm
Hardening,"hardening,solidifying, solidification,harden,indurate",,,subclinical acne,acne condition,bee products,bee venom
Skin refining,"skin improved, refines skin, skin refinement, skin refining",,,whitehead,acne condition,bee products,beeswax
Intensifying,"intensifying, intense, deepen, deepening",,,zit,acne condition,bee products,kanuka honey
No residue,no residue,,,age management,aging condition,bee products,manuka honey
Contouring,"contouring, contour,outline",,,age spot,aging condition,bee products,propolis
Correcting,"correcting, correct,rectify, adjust",,,aging skin,aging condition,cannabis products,cannabidiol oil
Cooling,"cooling,chilling,chilled, temperature reduction,cooling system,cool,chill,cool down,cool off",,,anti aging,aging condition,cannabis products,cannabigerol
Long-lasting,"lasts, durable, durability",,,collagen cream,aging condition,cannabis products,cannabinol
Curling,"curl,kink,curl up,coil, wavy",,,crows feet,aging condition,cannabis products,cannabis
Massaging,"massage, massaging, knead, rub,rubbing",,,frown lines,aging condition,cannabis products,cbd
Mattifying,"matt, mattifying",,,glabellar lines,aging condition,cannabis products,cbd essential oil
Natural,"natural, not flashy, no make up look",,,inflammaging,aging condition,cannabis products,cbd liquid
Neutralizing,"neutralizing, neutralising, neutralize,neutralise, counterbalance",,,laugh lines,aging condition,cannabis products,cbd oil
Reactivating,reactivate,,,saggy skin,aging condition,cannabis products,cbd patch
Repairing,"reparing, repair,restore",,,senescent cells,aging condition,cannabis products,cbd spray
Replenishing,"replenishing, replenish",,,smile lines,aging condition,cannabis products,cbd tincture oil
Fast drying,"dry, drying",,,wrinkle,aging condition,cannabis products,cbg
Protective,"protective, protect",,,blackhead,blackhead condition,cannabis products,hash oil
Bounce,"bounce, elasticity",,,blackhead removal,blackhead condition,cannabis products,hemp
Stimulating,"stimulating, stimulate,energize,energise,perk up,stimulant",,,blakchead remedies,blackhead condition,cannabis products,hemp oil
Sebum regulating,sebum regulating,,,comedogenic,blackhead condition,cannabis products,marijuana
Tinting,"tint,tinge,touch,coloring,colouring",,,non comedogenic,blackhead condition,cannabis products,strawberry cough
UV protection,"sun blocker, sun screen",,,bumps on forehead,bumps condition,cannabis products,tetrahydrocannabinol
Condensing,"condensation,condense, concentrate,compression,compressing",,,fordyce,bumps condition,cannabis products,thc
Sealing,seal,,,pilomatricoma,bumps condition,chlorophyll products,chlorella
Warming,"heating,warming,warm,warm up",,,red bumps,bumps condition,chlorophyll products,chlorella spirulina
Smudge-proof,"smudge resistance, smudge resistant",,,white bump,bumps condition,chlorophyll products,chlorophyll
